t,v
2020-07-15T00:00:00Z,1.006196972
2020-07-16T00:00:00Z,0.999899502
2020-07-17T00:00:00Z,0.999797837
2020-07-18T00:00:00Z,1.001216501
2020-07-19T00:00:00Z,1.00320396
2020-07-20T00:00:00Z,1.000695996
2020-07-21T00:00:00Z,1.003705813
2020-07-22T00:00:00Z,1.006784217
2020-07-23T00:00:00Z,1.00822448
2020-07-24T00:00:00Z,1.005415728
2020-07-25T00:00:00Z,1.006415216
2020-07-26T00:00:00Z,1.010323579
2020-07-27T00:00:00Z,1.027746646
2020-07-28T00:00:00Z,1.029342659
2020-07-29T00:00:00Z,1.017494835
2020-07-30T00:00:00Z,1.014839045
2020-07-31T00:00:00Z,1.017474374
2020-08-01T00:00:00Z,1.017050849
2020-08-02T00:00:00Z,1.011168999
2020-08-03T00:00:00Z,1.030357297
2020-08-04T00:00:00Z,1.009369921
2020-08-05T00:00:00Z,1.023436693
2020-08-06T00:00:00Z,1.034791625
2020-08-07T00:00:00Z,1.028370728
2020-08-08T00:00:00Z,1.023559275
2020-08-09T00:00:00Z,1.016996006
2020-08-10T00:00:00Z,1.01380044
2020-08-11T00:00:00Z,1.016820598
2020-08-12T00:00:00Z,1.010010388
2020-08-13T00:00:00Z,1.011411173
2020-08-14T00:00:00Z,1.011628768
2020-08-15T00:00:00Z,1.005418416
2020-08-16T00:00:00Z,1.003770982
2020-08-17T00:00:00Z,1.010001879
2020-08-18T00:00:00Z,1.006079906
2020-08-19T00:00:00Z,1.002350577
2020-08-20T00:00:00Z,1.004907581
2020-08-21T00:00:00Z,1.008477387
2020-08-22T00:00:00Z,1.001710764
2020-08-23T00:00:00Z,1.002088369
2020-08-24T00:00:00Z,1.005280379
2020-08-25T00:00:00Z,1.003413923
2020-08-26T00:00:00Z,1.002557706
2020-08-27T00:00:00Z,1.002197097
2020-08-28T00:00:00Z,1.004717468
2020-08-29T00:00:00Z,1.000985885
2020-08-30T00:00:00Z,1.003650875
2020-08-31T00:00:00Z,1.005238323
2020-09-01T00:00:00Z,1.007634986
2020-09-02T00:00:00Z,1.001692277
2020-09-03T00:00:00Z,1.000149741
2020-09-04T00:00:00Z,0.997581111
2020-09-05T00:00:00Z,0.997532367
2020-09-06T00:00:00Z,0.999286057
2020-09-07T00:00:00Z,0.997704126
2020-09-08T00:00:00Z,0.99874062
2020-09-09T00:00:00Z,0.999388604
2020-09-10T00:00:00Z,1.000281176
2020-09-11T00:00:00Z,0.999366612
2020-09-12T00:00:00Z,0.999548392
2020-09-13T00:00:00Z,1.000252613
2020-09-14T00:00:00Z,1.001450363
2020-09-15T00:00:00Z,1.003114722
2020-09-16T00:00:00Z,1.004171714
2020-09-17T00:00:00Z,1.001286
2020-09-18T00:00:00Z,1.002098943
2020-09-19T00:00:00Z,1.003241682
2020-09-20T00:00:00Z,1.001270388
2020-09-21T00:00:00Z,0.999074144
